frame_index,timestamp (ms),is_change,delta (ms)
543,9050.0000,0,0.0000
544,9066.6667,1,33.3333
545,9083.3333,0,0.0000
546,9100.0000,1,33.3333
547,9116.6667,0,0.0000
548,9133.3333,1,33.3333
549,9150.0000,0,0.0000
550,9166.6667,1,33.3333
551,9183.3333,0,0.0000
552,9200.0000,1,33.3333
553,9216.6667,0,0.0000
554,9233.3333,1,33.3333
555,9250.0000,0,0.0000
556,9266.6667,1,33.3333
557,9283.3333,0,0.0000
558,9300.0000,1,33.3333
559,9316.6667,0,0.0000
560,9333.3333,1,33.3333
561,9350.0000,0,0.0000
562,9366.6667,1,33.3333
563,9383.3333,0,0.0000
564,9400.0000,1,33.3333
565,9416.6667,0,0.0000
566,9433.3333,1,33.3333
567,9450.0000,0,0.0000
568,9466.6667,1,33.3333
569,9483.3333,0,0.0000
570,9500.0000,1,33.3333
571,9516.6667,0,0.0000
572,9533.3333,1,33.3333
573,9550.0000,0,0.0000
574,9566.6667,1,33.3333
575,9583.3333,0,0.0000
576,9600.0000,1,33.3333
577,9616.6667,0,0.0000
578,9633.3333,1,33.3333
579,9650.0000,0,0.0000
580,9666.6667,1,33.3333
581,9683.3333,0,0.0000
582,9700.0000,1,33.3333
583,9716.6667,0,0.0000
584,9733.3333,1,33.3333
585,9750.0000,0,0.0000
586,9766.6667,1,33.3333
587,9783.3333,0,0.0000
588,9800.0000,1,33.3333
589,9816.6667,0,0.0000
590,9833.3333,1,33.3333
591,9850.0000,0,0.0000
592,9866.6667,1,33.3333
593,9883.3333,0,0.0000
594,9900.0000,1,33.3333
595,9916.6667,0,0.0000
596,9933.3333,1,33.3333
597,9950.0000,0,0.0000
598,9966.6667,1,33.3333
599,9983.3333,0,0.0000
600,10000.0000,1,33.3333
601,10016.6667,0,0.0000
602,10033.3333,1,33.3333
603,10050.0000,0,0.0000
604,10066.6667,1,33.3333
605,10083.3333,0,0.0000
606,10100.0000,1,33.3333
607,10116.6667,0,0.0000
608,10133.3333,1,33.3333
609,10150.0000,0,0.0000
610,10166.6667,1,33.3333
611,10183.3333,0,0.0000
612,10200.0000,1,33.3333
613,10216.6667,0,0.0000
614,10233.3333,1,33.3333
615,10250.0000,0,0.0000
616,10266.6667,1,33.3333
617,10283.3333,0,0.0000
618,10300.0000,1,33.3333
619,10316.6667,0,0.0000
620,10333.3333,1,33.3333
621,10350.0000,0,0.0000
622,10366.6667,1,33.3333
623,10383.3333,0,0.0000
624,10400.0000,1,33.3333
625,10416.6667,0,0.0000
626,10433.3333,1,33.3333
627,10450.0000,0,0.0000
628,10466.6667,1,33.3333
629,10483.3333,0,0.0000
630,10500.0000,1,33.3333
631,10516.6667,0,0.0000
632,10533.3333,1,33.3333
633,10550.0000,0,0.0000
634,10566.6667,1,33.3333
635,10583.3333,0,0.0000
636,10600.0000,1,33.3333
637,10616.6667,0,0.0000
638,10633.3333,1,33.3333
639,10650.0000,0,0.0000
640,10666.6667,1,33.3333
641,10683.3333,0,0.0000
642,10700.0000,1,33.3333
643,10716.6667,0,0.0000
644,10733.3333,1,33.3333
645,10750.0000,0,0.0000
646,10766.6667,1,33.3333
647,10783.3333,0,0.0000
648,10800.0000,1,33.3333
649,10816.6667,0,0.0000
650,10833.3333,1,33.3333
651,10850.0000,0,0.0000
652,10866.6667,1,33.3333
653,10883.3333,0,0.0000
654,10900.0000,1,33.3333
655,10916.6667,0,0.0000
656,10933.3333,1,33.3333
657,10950.0000,0,0.0000
658,10966.6667,1,33.3333
659,10983.3333,0,0.0000
660,11000.0000,1,33.3333
661,11016.6667,0,0.0000
662,11033.3333,1,33.3333
663,11050.0000,0,0.0000
664,11066.6667,1,33.3333
665,11083.3333,0,0.0000
666,11100.0000,1,33.3333
667,11116.6667,0,0.0000
668,11133.3333,1,33.3333
669,11150.0000,0,0.0000
670,11166.6667,1,33.3333
671,11183.3333,0,0.0000
672,11200.0000,1,33.3333
673,11216.6667,0,0.0000
674,11233.3333,1,33.3333
675,11250.0000,0,0.0000
676,11266.6667,1,33.3333
677,11283.3333,0,0.0000
678,11300.0000,1,33.3333
679,11316.6667,0,0.0000
680,11333.3333,1,33.3333
681,11350.0000,0,0.0000
682,11366.6667,1,33.3333
683,11383.3333,0,0.0000
684,11400.0000,1,33.3333
685,11416.6667,0,0.0000
686,11433.3333,1,33.3333
687,11450.0000,0,0.0000
688,11466.6667,1,33.3333
689,11483.3333,0,0.0000
690,11500.0000,1,33.3333
691,11516.6667,0,0.0000
692,11533.3333,1,33.3333
693,11550.0000,0,0.0000
694,11566.6667,1,33.3333
695,11583.3333,0,0.0000
696,11600.0000,1,33.3333
697,11616.6667,0,0.0000
698,11633.3333,1,33.3333
699,11650.0000,0,0.0000
700,11666.6667,1,33.3333
701,11683.3333,0,0.0000
702,11700.0000,1,33.3333
703,11716.6667,0,0.0000
704,11733.3333,1,33.3333
705,11750.0000,0,0.0000
706,11766.6667,1,33.3333
707,11783.3333,0,0.0000
708,11800.0000,1,33.3333
709,11816.6667,0,0.0000
710,11833.3333,1,33.3333
711,11850.0000,0,0.0000
712,11866.6667,1,33.3333
713,11883.3333,0,0.0000
714,11900.0000,1,33.3333
715,11916.6667,0,0.0000
716,11933.3333,1,33.3333
717,11950.0000,0,0.0000
718,11966.6667,1,33.3333
719,11983.3333,0,0.0000
720,12000.0000,1,33.3333
721,12016.6667,0,0.0000
722,12033.3333,1,33.3333
723,12050.0000,0,0.0000
724,12066.6667,1,33.3333
725,12083.3333,0,0.0000
726,12100.0000,1,33.3333
727,12116.6667,0,0.0000
728,12133.3333,1,33.3333
729,12150.0000,0,0.0000
730,12166.6667,1,33.3333
731,12183.3333,0,0.0000
732,12200.0000,1,33.3333
733,12216.6667,0,0.0000
734,12233.3333,1,33.3333
735,12250.0000,0,0.0000
736,12266.6667,1,33.3333
737,12283.3333,0,0.0000
738,12300.0000,1,33.3333
739,12316.6667,0,0.0000
740,12333.3333,1,33.3333
741,12350.0000,0,0.0000
742,12366.6667,1,33.3333
743,12383.3333,0,0.0000
744,12400.0000,1,33.3333
745,12416.6667,0,0.0000
746,12433.3333,1,33.3333
747,12450.0000,0,0.0000
748,12466.6667,1,33.3333
749,12483.3333,0,0.0000
750,12500.0000,1,33.3333
751,12516.6667,0,0.0000
752,12533.3333,1,33.3333
753,12550.0000,0,0.0000
754,12566.6667,1,33.3333
755,12583.3333,0,0.0000
756,12600.0000,1,33.3333
757,12616.6667,0,0.0000
758,12633.3333,1,33.3333
759,12650.0000,0,0.0000
760,12666.6667,1,33.3333
761,12683.3333,0,0.0000
762,12700.0000,1,33.3333
763,12716.6667,0,0.0000
764,12733.3333,1,33.3333
765,12750.0000,0,0.0000
766,12766.6667,1,33.3333
767,12783.3333,0,0.0000
768,12800.0000,1,33.3333
769,12816.6667,0,0.0000
770,12833.3333,1,33.3333
771,12850.0000,0,0.0000
772,12866.6667,1,33.3333
773,12883.3333,0,0.0000
774,12900.0000,1,33.3333
775,12916.6667,0,0.0000
776,12933.3333,1,33.3333
777,12950.0000,0,0.0000
778,12966.6667,1,33.3333
779,12983.3333,0,0.0000
780,13000.0000,1,33.3333
781,13016.6667,0,0.0000
782,13033.3333,1,33.3333
783,13050.0000,0,0.0000
784,13066.6667,1,33.3333
785,13083.3333,0,0.0000
786,13100.0000,1,33.3333
787,13116.6667,0,0.0000
788,13133.3333,1,33.3333
789,13150.0000,0,0.0000
790,13166.6667,1,33.3333
791,13183.3333,0,0.0000
792,13200.0000,1,33.3333
793,13216.6667,0,0.0000
794,13233.3333,1,33.3333
795,13250.0000,0,0.0000
796,13266.6667,1,33.3333
797,13283.3333,0,0.0000
798,13300.0000,1,33.3333
799,13316.6667,0,0.0000
800,13333.3333,1,33.3333
801,13350.0000,0,0.0000
802,13366.6667,1,33.3333
803,13383.3333,0,0.0000
804,13400.0000,1,33.3333
805,13416.6667,0,0.0000
806,13433.3333,1,33.3333
807,13450.0000,0,0.0000
808,13466.6667,1,33.3333
809,13483.3333,0,0.0000
810,13500.0000,1,33.3333
811,13516.6667,0,0.0000
812,13533.3333,1,33.3333
813,13550.0000,0,0.0000
814,13566.6667,1,33.3333
815,13583.3333,0,0.0000
816,13600.0000,1,33.3333
817,13616.6667,0,0.0000
818,13633.3333,1,33.3333
819,13650.0000,0,0.0000
820,13666.6667,1,33.3333
821,13683.3333,0,0.0000
822,13700.0000,1,33.3333
823,13716.6667,0,0.0000
824,13733.3333,1,33.3333
825,13750.0000,0,0.0000
826,13766.6667,1,33.3333
827,13783.3333,0,0.0000
828,13800.0000,1,33.3333
829,13816.6667,0,0.0000
830,13833.3333,1,33.3333
831,13850.0000,0,0.0000
832,13866.6667,1,33.3333
833,13883.3333,0,0.0000
834,13900.0000,1,33.3333
835,13916.6667,0,0.0000
836,13933.3333,1,33.3333
837,13950.0000,0,0.0000
838,13966.6667,1,33.3333
839,13983.3333,0,0.0000
840,14000.0000,1,33.3333
841,14016.6667,0,0.0000
842,14033.3333,1,33.3333
843,14050.0000,0,0.0000
844,14066.6667,1,33.3333
845,14083.3333,0,0.0000
846,14100.0000,1,33.3333
847,14116.6667,0,0.0000
848,14133.3333,1,33.3333
849,14150.0000,0,0.0000
850,14166.6667,1,33.3333
851,14183.3333,0,0.0000
852,14200.0000,1,33.3333
853,14216.6667,0,0.0000
854,14233.3333,1,33.3333
855,14250.0000,0,0.0000
856,14266.6667,1,33.3333
857,14283.3333,0,0.0000
858,14300.0000,1,33.3333
859,14316.6667,0,0.0000
860,14333.3333,1,33.3333
861,14350.0000,0,0.0000
862,14366.6667,1,33.3333
863,14383.3333,0,0.0000
864,14400.0000,1,33.3333
865,14416.6667,0,0.0000
866,14433.3333,1,33.3333
867,14450.0000,0,0.0000
868,14466.6667,1,33.3333
869,14483.3333,0,0.0000
870,14500.0000,1,33.3333
871,14516.6667,0,0.0000
872,14533.3333,1,33.3333
873,14550.0000,0,0.0000
874,14566.6667,1,33.3333
875,14583.3333,0,0.0000
876,14600.0000,1,33.3333
877,14616.6667,0,0.0000
878,14633.3333,1,33.3333
879,14650.0000,0,0.0000
880,14666.6667,1,33.3333
881,14683.3333,0,0.0000
882,14700.0000,1,33.3333
883,14716.6667,0,0.0000
884,14733.3333,1,33.3333
885,14750.0000,0,0.0000
886,14766.6667,1,33.3333
887,14783.3333,0,0.0000
888,14800.0000,1,33.3333
889,14816.6667,0,0.0000
890,14833.3333,1,33.3333
891,14850.0000,0,0.0000
892,14866.6667,1,33.3333
893,14883.3333,0,0.0000
894,14900.0000,1,33.3333
895,14916.6667,0,0.0000
896,14933.3333,1,33.3333
897,14950.0000,0,0.0000
898,14966.6667,1,33.3333
899,14983.3333,0,0.0000
900,15000.0000,1,33.3333
901,15016.6667,0,0.0000
902,15033.3333,1,33.3333
903,15050.0000,0,0.0000
904,15066.6667,1,33.3333
905,15083.3333,0,0.0000
906,15100.0000,1,33.3333
907,15116.6667,0,0.0000
908,15133.3333,1,33.3333
909,15150.0000,0,0.0000
910,15166.6667,1,33.3333
911,15183.3333,0,0.0000
912,15200.0000,1,33.3333
913,15216.6667,0,0.0000
914,15233.3333,1,33.3333
915,15250.0000,0,0.0000
916,15266.6667,1,33.3333
917,15283.3333,0,0.0000
918,15300.0000,1,33.3333
919,15316.6667,0,0.0000
920,15333.3333,1,33.3333
921,15350.0000,0,0.0000
922,15366.6667,1,33.3333
923,15383.3333,0,0.0000
924,15400.0000,1,33.3333
925,15416.6667,0,0.0000
926,15433.3333,1,33.3333
927,15450.0000,0,0.0000
928,15466.6667,1,33.3333
929,15483.3333,0,0.0000
